text,label
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: hurry up",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Hello dear
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: limited seats",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: just like youtube videos and earn
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: hurry up",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: limited seats",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: just like youtube videos and earn
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: just like youtube videos and earn
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: limited seats",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: limited seats",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: limited seats",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: limited seats",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: limited seats",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hello dear
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: hurry up",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: hurry up",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: limited seats",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: your wallet is frozen pay tax to withdraw
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"Unknown: Hi sir
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Hello dear
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: hurry up",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: pay security deposit of 500rs refundable
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: hurry up",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Hello dear
Me: Yes I am interested
Unknown: download this app and register
Me: Is there any fee?
Unknown: dont worry it is trusted company",1
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: limited seats",1
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: limited seats",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: hurry up",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: limited seats",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Are you available for a call?
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: thanks for your time",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: process involves 3 rounds of interview
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: regards, HR Team",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hello dear
Me: Yes I am interested
Unknown: send screenshot of payment
Me: Is there any fee?
Unknown: offer expires soon",1
"Unknown: Are you looking for part time job?
Me: Yes I am interested
Unknown: just like youtube videos and earn
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Hello, regarding the Python Developer role
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: please share your portfolio link
Me: Okay I will send it.
HR: regards, HR Team",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: just like youtube videos and earn
Me: Is there any fee?
Unknown: hurry up",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: we offer health insurance and PF
Me: Okay I will send it.
HR: check your email for invite",0
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: the office is located in Bangalore
Me: Okay I will send it.
HR: thanks for your time",0
"Unknown: Hi sir
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: limited seats",1
"HR: Hi, I saw your application on LinkedIn
Me: Yes, what is the process?
HR: no fees are charged for recruitment
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: 100% genuine process",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: check your email for invite",0
"Unknown: Greetings from Amazon hiring team
Me: Yes I am interested
Unknown: kindly message our HR on Telegram
Me: Is there any fee?
Unknown: offer expires soon",1
"HR: Your interview is scheduled
Me: Yes, what is the process?
HR: can you send your updated CV?
Me: Okay I will send it.
HR: let us know your availability",0
"Unknown: Part time wfh available
Me: Yes I am interested
Unknown: complete 3 tasks to get payment
Me: Is there any fee?
Unknown: hurry up",1
